id,sentiment
12311_10,0.98399067
8348_2,0.03129662
5828_4,0.3177481
7186_2,0.47530568
12128_7,0.8806155
2913_8,0.8203989
4396_1,0.026860865
395_2,0.16441484
10616_1,0.00695551
9074_9,0.07298765
9252_3,0.040978655
9896_9,0.2522926
574_4,0.21342343
11182_8,0.59944195
11656_4,0.35631135
2322_4,0.5367547
8703_1,0.09282558
7483_1,0.27596638
6007_10,0.92711514
12424_4,0.0055824234
4672_1,4.7693382e-05
10841_3,0.22497563
8954_7,0.5601668
7392_1,0.057981398
10288_8,0.9464582
5343_4,0.031226711
4950_1,0.005311535
9257_4,0.7542843
8689_3,0.079344526
4480_2,0.085211076
9286_10,0.8343206
12245_10,0.995415
7529_7,0.8813063
4_4,0.08335803
5299_2,0.017608207
12077_8,0.8161002
10701_2,0.073383875
11579_1,0.03370615
10993_1,0.14726695
8913_1,0.02481258
1350_3,0.051916067
3804_2,0.04422529
5025_3,0.42598045
5170_8,0.68074596
8225_8,0.94704497
6427_7,0.8786958
3165_3,0.3087765
7902_9,0.98696285
8208_3,0.027997982
3577_8,0.86841
4865_1,0.12537782
9063_3,0.53610003
1106_1,0.56325144
1117_9,0.9466507
1050_4,0.4033796
10755_9,0.97822064
2729_8,0.7200512
10072_10,0.99751365
2904_7,0.87304807
4584_2,0.583417
189_4,0.15546139
6302_4,0.40647575
8138_9,0.74309623
1262_1,0.15147823
2199_10,0.99929917
6551_7,0.69446486
8082_7,0.14847252
4897_8,0.99975437
7360_1,0.0042225076
11012_10,0.9264426
12046_1,0.3863639
2331_2,0.37072685
8961_9,0.97836375
751_7,0.45734113
9884_10,0.66748124
10016_8,0.7403435
8023_10,0.9155293
2628_1,0.02547973
5832_1,0.0017279612
7302_1,0.0048803547
4501_3,0.16703323
1121_7,0.70872223
8334_3,0.4977247
9789_10,0.4101955
4230_10,0.67689365
824_4,0.03823675
6803_9,0.6294676
3086_7,0.93865114
1135_8,0.91368514
10136_1,0.011406359
11129_3,0.042745404
2072_8,0.63075805
9501_7,0.9219076
319_10,0.9877286
1693_7,0.9371652
10886_1,0.0024942872
9406_8,0.69273233
10376_10,0.24762443
9902_1,0.056180052
9938_8,0.3267914
7080_9,0.7788813
11944_8,0.47436586
5249_1,0.0008982945
9599_2,0.2161466
9620_1,0.3969381
11244_1,0.023360917
6841_10,0.9827406
10050_4,0.8771698
10512_9,0.72792137
11327_3,0.005744391
10681_8,0.5197741
808_3,0.29054824
546_7,0.990598
10765_1,0.00019233896
7189_9,0.75265527
6005_9,0.9994122
11915_9,0.9292333
5740_10,0.95717204
7097_10,0.30518386
9573_10,0.50892735
5084_4,0.42895037
12332_7,0.61384094
8154_1,0.014914881
5610_1,0.2602068
5323_9,0.79164165
11034_8,0.85228634
3977_2,0.2096416
12380_7,0.14311774
1737_8,0.7497633
6030_9,0.5358641
5918_7,0.7042818
7061_9,0.59617096
266_8,0.7678426
1375_10,0.9553525
8648_3,4.0420284e-05
10146_10,0.9377834
4578_10,0.9815091
4685_8,0.7042471
11843_9,0.8702017
5467_10,0.9937452
10140_10,0.7055905
7721_8,0.9331371
11208_10,0.27440098
1063_10,0.945023
8260_10,0.3817501
3182_9,0.9249053
2797_8,0.9019793
7613_2,0.8912763
11624_4,0.046107106
4847_10,0.800658
10684_7,0.59644777
6312_1,0.12507814
4925_3,0.018769404
4125_1,0.0034014257
2394_10,0.99978703
12105_10,0.84233797
7812_1,0.031214956
1061_8,0.964803
9343_3,0.9255345
7696_10,0.9963168
9355_10,0.9999995
782_9,0.99437004
9882_10,0.99914074
10642_10,0.92186373
7410_2,0.0109586
9591_4,0.052708652
11902_3,0.11372442
3495_7,0.23906595
6733_1,0.10277475
4552_1,0.0024845
6722_1,0.22992478
188_10,0.8508473
5099_10,0.99508226
10313_1,0.21956065
6756_9,0.9743343
6622_2,0.022542499
4807_10,0.9942147
7173_3,0.18572763
11321_8,0.7826349
7909_9,0.50507677
8012_7,0.09432712
8615_4,0.08202485
